tool,test_time,seed,curve,oracle,iteration,error,ir_generation_seed,ir_generation_time,ir_rewrite_seed,ir_rewrite_time,ir_rewrite_rules,c1_node_size,c1_assignments,c1_assertions,c1_assumptions,c1_input_signals,c1_output_signals,c2_node_size,c2_assignments,c2_assertions,c2_assumptions,c2_input_signals,c2_output_signals,circom_c1_compilation,circom_c1_compilation_time,circom_c1_compilation_optimization,circom_c2_compilation,circom_c2_compilation_time,circom_c2_compilation_optimization,circom_c1_cpp_witness_preparation,circom_c1_cpp_witness_preparation_time,circom_c1_cpp_witness_generation,circom_c1_cpp_witness_generation_time,circom_c1_js_witness_generation,circom_c1_js_witness_generation_time,circom_c1_snarkjs_witness_check,circom_c1_snarkjs_witness_check_time,circom_c2_cpp_witness_preparation,circom_c2_cpp_witness_preparation_time,circom_c2_cpp_witness_generation,circom_c2_cpp_witness_generation_time,circom_c2_js_witness_generation,circom_c2_js_witness_generation_time,circom_c2_snarkjs_witness_check,circom_c2_snarkjs_witness_check_time,circom_proof_system,circom_c1_zkey_generation,circom_c1_zkey_generation_time,circom_c1_proof_generation,circom_c1_proof_generation_time,circom_c2_zkey_generation,circom_c2_zkey_generation_time,circom_c2_proof_generation,circom_c2_proof_generation_time,circom_c1_vkey_generation,circom_c1_vkey_generation_time,circom_c1_verification,circom_c1_verification_time,circom_c2_vkey_generation,circom_c2_vkey_generation_time,circom_c2_verification,circom_c2_verification_time,circom_c1_ignored_error,circom_c2_ignored_error,corset_rust_check,corset_rust_check_time,corset_rust_compile,corset_rust_compile_time,corset_go_compile,corset_go_compile_time,corset_wizard_compile,corset_wizard_compile_time,corset_wizard_prove,corset_wizard_prove_time,corset_wizard_verify,corset_wizard_verify_time,corset_go_custom_cli,corset_go_custom_cli_time,corset_expansions,corset_native,corset_auto_constraints,corset_guard_variable,corset_timeout,corset_out_of_memory,corset_error_references,corset_ignored_error,gnark_c1_compile,gnark_c1_compile_time,gnark_c2_compile,gnark_c2_compile_time,gnark_c1_new_witness,gnark_c1_new_witness_time,gnark_c2_new_witness,gnark_c2_new_witness_time,gnark_c1_witness_solved,gnark_c1_witness_solved_time,gnark_c2_witness_solved,gnark_c2_witness_solved_time,gnark_c1_witness_write,gnark_c1_witness_write_time,gnark_c2_witness_write,gnark_c2_witness_write_time,gnark_c1_new_srs,gnark_c2_new_srs,gnark_c1_proof_setup,gnark_c1_proof_setup_time,gnark_c2_proof_setup,gnark_c2_proof_setup_time,gnark_c1_prove,gnark_c1_prove_time,gnark_c2_prove,gnark_c2_prove_time,gnark_c1_witness_public,gnark_c1_witness_public_time,gnark_c2_witness_public,gnark_c2_witness_public_time,gnark_c1_verify,gnark_c1_verify_time,gnark_c2_verify,gnark_c2_verify_time,gnark_cs_engine,gnark_proof_system,gnark_go_test_time,gnark_go_timeout,gnark_go_ignored_compiler_error,noir_c1_execute,noir_c1_execute_time,noir_c2_execute,noir_c2_execute_time,noir_c1_vk,noir_c1_vk_time,noir_c2_vk,noir_c2_vk_time,noir_c1_bb_prove,noir_c1_bb_prove_time,noir_c2_bb_prove,noir_c2_bb_prove_time,noir_c1_bb_verify,noir_c1_bb_verify_time,noir_c2_bb_verify,noir_c2_bb_verify_time,noir_c1_ignored_error,noir_c2_ignored_error,mina_c1_ts_compile,mina_c1_ts_compile_time,mina_c2_ts_compile,mina_c2_ts_compile_time,mina_c1_zk_compile,mina_c1_zk_compile_time,mina_c2_zk_compile,mina_c2_zk_compile_time,mina_c1_prove,mina_c1_prove_time,mina_c2_prove,mina_c2_prove_time,mina_c1_verify,mina_c1_verify_time,mina_c2_verify,mina_c2_verify_time,mina_c1_ignored_error,mina_c2_ignored_error,cycle,explore_time,is_fixed
mina,9.065585136413574,0.04613533959409866,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,7846042050,0.0003609657287597656,5948908389,0.00016689300537109375,,2,0,1,0,2,0,2,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.181980848312378,True,3.6980702877044678,False,,,,,,,,,,,,,,5,805.5361223220825,
mina,7.693665266036987,0.8437802449745673,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,8816218985,0.000537872314453125,3195206417,0.010006189346313477,mul-one-rev|add-zero-rev|mul-one-rev|comm-mul|add-zero|add-zero-rev|comm-mul|comm-mul|comm-mul|comm-mul|distrib-mul-add|comm-mul|mul-one-rev|mul-one-rev|add-zero-rev|add-zero-rev|add-zero|mul-one|double-neg-rev|double-neg|mul-one-rev|double-neg-rev|comm-add|comm-add|comm-add|mul-one|mul-one|double-neg|comm-add|double-neg-rev|comm-mul|double-neg|mul-one-rev|add-zero-rev|mul-one|double-neg-rev|mul-one|mul-one-rev,27,2,2,1,1,2,41,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.454667568206787,True,2.0854949951171875,False,,,,,,,,,,,,,,8,1109.9073972702026,
mina,6.966310977935791,0.9341497551772906,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,4091976808,0.00033855438232421875,6177242687,0.0001964569091796875,,3,0,1,0,1,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.046664237976074,True,1.7921509742736816,False,,,,,,,,,,,,,,9,1116.8767712116241,
mina,7.38484263420105,0.5327333677348216,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,2645933298,0.0007085800170898438,4979431684,0.004853010177612305,mul-zero|add-zero-rev|add-zero-rev|comm-add|add-zero|double-neg-rev|double-neg|comm-add|mul-one-rev|double-neg-rev|mul-one|double-neg|mul-one-rev|double-neg-rev|mul-one-rev|add-zero-rev|add-zero-rev|double-neg|double-neg-rev|double-neg,34,1,2,0,2,1,38,1,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.2120227813720703,True,1.9363353252410889,False,,,,,,,,,,,,,,18,2401.3535046577454,
mina,7.582996606826782,0.113570857991108,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,5770848427,0.00046181678771972656,5398601923,0.00029206275939941406,,14,0,2,0,1,0,14,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.9211838245391846,True,2.7893335819244385,False,,,,,,,,,,,,,,23,3117.8155784606934,
mina,6.9473717212677,0.78659182261911,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,8779945097,0.0004458427429199219,7152583750,0.0035157203674316406,mul-one-rev|double-neg-rev|add-zero-rev|comm-add|mul-one|comm-add|double-neg-rev|double-neg|add-zero-rev|add-zero|sub-as-add-neg|add-zero|comm-add|double-neg-rev|double-neg-rev|mul-one-rev|add-zero-rev|comm-mul|mul-one-rev|double-neg|assoc-mul|double-neg-rev|double-neg-rev,11,1,2,0,1,1,26,1,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.9556901454925537,True,1.896946907043457,False,,,,,,,,,,,,,,24,3124.7654144763947,
mina,8.001558065414429,0.17337426350093754,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,5911003071,0.0004553794860839844,6147768410,0.002494335174560547,mul-one-rev|sub-as-add-neg|double-neg-rev|distrib-mul-add|distrib-mul-add-rev|comm-mul|comm-add|comm-add|add-zero|comm-mul|mul-one|comm-add|mul-one-rev,19,2,2,0,2,2,22,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.1521923542022705,True,1.6940956115722656,False,,,,,,,,,,,,,,27,3430.537811279297,
mina,7.191923379898071,0.12281386110761117,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,3624535568,0.0004851818084716797,9220042930,0.007894277572631836,double-neg|comm-mul|comm-mul|mul-one-rev|double-neg-rev|mul-one-rev|mul-one|comm-mul|double-neg-rev|mul-one-rev|mul-one|comm-mul|mul-one|comm-mul|add-zero-rev|add-zero|double-neg-rev|double-neg-rev|double-neg|comm-mul|mul-one-rev|mul-one-rev|mul-one|add-zero-rev|mul-one|add-zero|double-neg|add-zero-rev|comm-mul|comm-mul|double-neg|comm-mul|comm-add|double-neg|mul-one-rev|comm-add|mul-one|add-zero-rev|add-zero|comm-mul,25,2,2,0,1,2,25,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.068655252456665,True,1.9933273792266846,False,,,,,,,,,,,,,,33,4324.8857345581055,
mina,7.422435998916626,0.5666202462210362,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,1640275863,0.0006275177001953125,3311205018,0.005287885665893555,double-neg-rev|comm-add|comm-add|comm-add|mul-one-rev|comm-mul|mul-one-rev|double-neg|add-zero-rev|add-zero|double-neg-rev|comm-add|mul-one-rev|assoc-mul|double-neg|assoc-mul-rev|mul-one|comm-add,31,2,2,0,2,2,35,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.137284278869629,True,2.105649471282959,False,,,,,,,,,,,,,,42,5702.773247718811,
mina,6.869308948516846,0.3031558331113203,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,3366643665,0.00010704994201660156,9384085221,0.011193037033081055,double-neg-rev|mul-one-rev|add-zero-rev|add-zero-rev|distrib-mul-add|double-neg-rev|double-neg|mul-one|add-zero-rev|add-zero-rev|comm-add|mul-one|add-zero|assoc-add-rev|double-neg-rev|double-neg|add-zero-rev|add-zero-rev|assoc-add|assoc-add-rev|double-neg-rev|assoc-add-rev|double-neg|assoc-add|comm-add|comm-add|mul-one-rev|mul-one|double-neg-rev|mul-one-rev|double-neg|assoc-add|double-neg-rev|add-zero-rev|add-zero-rev|double-neg|assoc-add|add-zero|add-zero|assoc-add|assoc-add|assoc-add|mul-one|double-neg-rev|add-zero|double-neg|add-zero|add-zero|add-zero-rev|mul-one-rev|add-zero-rev|double-neg-rev|comm-add|double-neg|comm-mul|distrib-mul-add|mul-one-rev|assoc-add-rev|mul-one-rev|mul-one-rev|distrib-mul-add-rev|double-neg-rev|comm-mul|assoc-add,9,1,2,0,2,1,29,1,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.9678125381469727,True,1.9196789264678955,False,,,,,,,,,,,,,,43,5709.645495414734,
