tool,test_time,seed,curve,oracle,iteration,error,ir_generation_seed,ir_generation_time,ir_rewrite_seed,ir_rewrite_time,ir_rewrite_rules,c1_node_size,c1_assignments,c1_assertions,c1_assumptions,c1_input_signals,c1_output_signals,c2_node_size,c2_assignments,c2_assertions,c2_assumptions,c2_input_signals,c2_output_signals,circom_c1_compilation,circom_c1_compilation_time,circom_c1_compilation_optimization,circom_c2_compilation,circom_c2_compilation_time,circom_c2_compilation_optimization,circom_c1_cpp_witness_preparation,circom_c1_cpp_witness_preparation_time,circom_c1_cpp_witness_generation,circom_c1_cpp_witness_generation_time,circom_c1_js_witness_generation,circom_c1_js_witness_generation_time,circom_c1_snarkjs_witness_check,circom_c1_snarkjs_witness_check_time,circom_c2_cpp_witness_preparation,circom_c2_cpp_witness_preparation_time,circom_c2_cpp_witness_generation,circom_c2_cpp_witness_generation_time,circom_c2_js_witness_generation,circom_c2_js_witness_generation_time,circom_c2_snarkjs_witness_check,circom_c2_snarkjs_witness_check_time,circom_proof_system,circom_c1_zkey_generation,circom_c1_zkey_generation_time,circom_c1_proof_generation,circom_c1_proof_generation_time,circom_c2_zkey_generation,circom_c2_zkey_generation_time,circom_c2_proof_generation,circom_c2_proof_generation_time,circom_c1_vkey_generation,circom_c1_vkey_generation_time,circom_c1_verification,circom_c1_verification_time,circom_c2_vkey_generation,circom_c2_vkey_generation_time,circom_c2_verification,circom_c2_verification_time,circom_c1_ignored_error,circom_c2_ignored_error,corset_rust_check,corset_rust_check_time,corset_rust_compile,corset_rust_compile_time,corset_go_compile,corset_go_compile_time,corset_wizard_compile,corset_wizard_compile_time,corset_wizard_prove,corset_wizard_prove_time,corset_wizard_verify,corset_wizard_verify_time,corset_go_custom_cli,corset_go_custom_cli_time,corset_expansions,corset_native,corset_auto_constraints,corset_guard_variable,corset_timeout,corset_out_of_memory,corset_error_references,corset_ignored_error,gnark_c1_compile,gnark_c1_compile_time,gnark_c2_compile,gnark_c2_compile_time,gnark_c1_new_witness,gnark_c1_new_witness_time,gnark_c2_new_witness,gnark_c2_new_witness_time,gnark_c1_witness_solved,gnark_c1_witness_solved_time,gnark_c2_witness_solved,gnark_c2_witness_solved_time,gnark_c1_witness_write,gnark_c1_witness_write_time,gnark_c2_witness_write,gnark_c2_witness_write_time,gnark_c1_new_srs,gnark_c2_new_srs,gnark_c1_proof_setup,gnark_c1_proof_setup_time,gnark_c2_proof_setup,gnark_c2_proof_setup_time,gnark_c1_prove,gnark_c1_prove_time,gnark_c2_prove,gnark_c2_prove_time,gnark_c1_witness_public,gnark_c1_witness_public_time,gnark_c2_witness_public,gnark_c2_witness_public_time,gnark_c1_verify,gnark_c1_verify_time,gnark_c2_verify,gnark_c2_verify_time,gnark_cs_engine,gnark_proof_system,gnark_go_test_time,gnark_go_timeout,gnark_go_ignored_compiler_error,noir_c1_execute,noir_c1_execute_time,noir_c2_execute,noir_c2_execute_time,noir_c1_vk,noir_c1_vk_time,noir_c2_vk,noir_c2_vk_time,noir_c1_bb_prove,noir_c1_bb_prove_time,noir_c2_bb_prove,noir_c2_bb_prove_time,noir_c1_bb_verify,noir_c1_bb_verify_time,noir_c2_bb_verify,noir_c2_bb_verify_time,noir_c1_ignored_error,noir_c2_ignored_error,mina_c1_ts_compile,mina_c1_ts_compile_time,mina_c2_ts_compile,mina_c2_ts_compile_time,mina_c1_zk_compile,mina_c1_zk_compile_time,mina_c2_zk_compile,mina_c2_zk_compile_time,mina_c1_prove,mina_c1_prove_time,mina_c2_prove,mina_c2_prove_time,mina_c1_verify,mina_c1_verify_time,mina_c2_verify,mina_c2_verify_time,mina_c1_ignored_error,mina_c2_ignored_error,cycle,explore_time,is_fixed
"mina",466.6276276111603,0.5534767873821885,"pallas","equal",0,"c1 ZK compile failed: timeout",6027373947,0.00013065338134765625,6988375765,0.008460044860839844,"double-neg-rev|double-neg-rev|double-neg|double-neg-rev|add-zero-rev|double-neg|add-zero|double-neg-rev|double-neg-rev|double-neg-rev|double-neg|add-zero-rev|double-neg|add-zero-rev|assoc-add-rev|mul-one-rev|assoc-add|comm-mul|mul-one-rev|mul-one-rev|comm-mul|mul-one|mul-one-rev|comm-add|double-neg|comm-mul|mul-one-rev|comm-mul|double-neg-rev|comm-add|comm-add|add-zero|comm-mul|comm-add|mul-one|mul-one-rev|double-neg|comm-add|mul-one-rev|comm-add|distrib-mul-add|assoc-mul-rev|comm-add|distrib-mul-add|distrib-mul-add-rev|comm-add|add-zero-rev|distrib-mul-add-rev|mul-one|comm-mul|add-zero|add-zero-rev|double-neg-rev|assoc-mul|double-neg-rev|assoc-mul-rev|add-zero",4,1,0,0,2,1,20,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8.388935804367065,True,5.098942041397095,False,,True,76.324,,,,,,,,,,,0,466.876008272171,
"mina",347.31516218185425,0.16793163171469871,"pallas","equal",0,,6289470731,0.03380012512207031,6193226691,0.010242938995361328,"comm-add|double-neg-rev",18,1,0,1,1,1,20,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,6.204071998596191,True,4.921337366104126,True,73.746,True,54.036,True,52.387,True,53.151,,,,,,,1,814.2302448749542,
"mina",347.31516218185425,0.16793163171469871,"pallas","equal",1,,6289470731,0.03380012512207031,6193226691,0.010242938995361328,"comm-add|double-neg-rev",18,1,0,1,1,1,20,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,49.423,True,49.823,,,,,,,1,814.2302448749542,
"mina",336.7309341430664,0.8540601375040987,"pallas","equal",0,,7624704718,0.0020225048065185547,3670424122,0.0009267330169677734,,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.2129809856414795,True,4.105348110198975,True,57.547,True,57.796,True,53.978,True,51.901,,,,,,,2,1150.9910337924957,
"mina",336.7309341430664,0.8540601375040987,"pallas","equal",1,,7624704718,0.0020225048065185547,3670424122,0.0009267330169677734,,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,51.013,True,51.159,,,,,,,2,1150.9910337924957,
"mina",352.93481183052063,0.5765874667625901,"pallas","equal",0,,6780953916,0.009581327438354492,6539525552,0.024930715560913086,"add-zero-rev|double-neg-rev|mul-one-rev|add-zero|mul-one|mul-one-rev|comm-add|mul-one|comm-add|add-zero-rev|mul-one-rev|double-neg|add-zero-rev|add-zero-rev|double-neg-rev",5,1,0,0,2,1,15,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.805075407028198,True,4.0203330516815186,True,63.301,True,60.579,True,54.586,True,53.742,,,,,,,3,1503.9703705310822,
"mina",352.93481183052063,0.5765874667625901,"pallas","equal",1,,6780953916,0.009581327438354492,6539525552,0.024930715560913086,"add-zero-rev|double-neg-rev|mul-one-rev|add-zero|mul-one|mul-one-rev|comm-add|mul-one|comm-add|add-zero-rev|mul-one-rev|double-neg|add-zero-rev|add-zero-rev|double-neg-rev",5,1,0,0,2,1,15,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,52.849,True,49.91,,,,,,,3,1503.9703705310822,
"mina",330.84816694259644,0.07818191117198448,"pallas","equal",0,,7149561726,0.009801387786865234,1137537102,0.06778073310852051,"add-zero-rev|double-neg-rev|double-neg-rev|double-neg-rev|double-neg-rev|comm-add|mul-one-rev|double-neg-rev|double-neg|double-neg|comm-mul|comm-add|double-neg-rev|add-zero-rev|comm-mul|double-neg-rev|add-zero|double-neg-rev|mul-one-rev|double-neg|mul-one-rev|mul-one-rev|assoc-mul-rev|double-neg-rev|add-zero-rev|comm-mul|mul-one-rev|double-neg|assoc-mul-rev|comm-mul|mul-one-rev|mul-one|add-zero-rev|add-zero|assoc-mul|mul-one|mul-one-rev|double-neg-rev|assoc-mul|double-neg-rev|mul-one-rev|assoc-mul-rev|distrib-mul-add|comm-mul|distrib-mul-add-rev|comm-add|mul-one-rev|mul-one-rev",3,1,0,0,1,1,37,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.559768199920654,True,4.24145770072937,True,56.942,True,59.092,True,52.407,True,52.982,,,,,,,4,1834.8699345588684,
"mina",330.84816694259644,0.07818191117198448,"pallas","equal",1,,7149561726,0.009801387786865234,1137537102,0.06778073310852051,"add-zero-rev|double-neg-rev|double-neg-rev|double-neg-rev|double-neg-rev|comm-add|mul-one-rev|double-neg-rev|double-neg|double-neg|comm-mul|comm-add|double-neg-rev|add-zero-rev|comm-mul|double-neg-rev|add-zero|double-neg-rev|mul-one-rev|double-neg|mul-one-rev|mul-one-rev|assoc-mul-rev|double-neg-rev|add-zero-rev|comm-mul|mul-one-rev|double-neg|assoc-mul-rev|comm-mul|mul-one-rev|mul-one|add-zero-rev|add-zero|assoc-mul|mul-one|mul-one-rev|double-neg-rev|assoc-mul|double-neg-rev|mul-one-rev|assoc-mul-rev|distrib-mul-add|comm-mul|distrib-mul-add-rev|comm-add|mul-one-rev|mul-one-rev",3,1,0,0,1,1,37,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,45.205,True,51.578,,,,,,,4,1834.8699345588684,
"mina",16.193909168243408,0.04613533959409866,"pallas","equal",0,,7846042050,0.010671615600585938,5948908389,0.0041277408599853516,,2,0,1,0,2,0,2,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.423616409301758,True,4.418929815292358,False,,False,,,,,,,,,,"c1 ZK compile failed: Bool.assertTrue(): false != true","c2 ZK compile failed: Bool.assertTrue(): false != true",5,1851.0867133140564,
