tool,test_time,seed,curve,oracle,iteration,error,ir_generation_seed,ir_generation_time,ir_rewrite_seed,ir_rewrite_time,ir_rewrite_rules,c1_node_size,c1_assignments,c1_assertions,c1_assumptions,c1_input_signals,c1_output_signals,c2_node_size,c2_assignments,c2_assertions,c2_assumptions,c2_input_signals,c2_output_signals,circom_c1_compilation,circom_c1_compilation_time,circom_c1_compilation_optimization,circom_c2_compilation,circom_c2_compilation_time,circom_c2_compilation_optimization,circom_c1_cpp_witness_preparation,circom_c1_cpp_witness_preparation_time,circom_c1_cpp_witness_generation,circom_c1_cpp_witness_generation_time,circom_c1_js_witness_generation,circom_c1_js_witness_generation_time,circom_c1_snarkjs_witness_check,circom_c1_snarkjs_witness_check_time,circom_c2_cpp_witness_preparation,circom_c2_cpp_witness_preparation_time,circom_c2_cpp_witness_generation,circom_c2_cpp_witness_generation_time,circom_c2_js_witness_generation,circom_c2_js_witness_generation_time,circom_c2_snarkjs_witness_check,circom_c2_snarkjs_witness_check_time,circom_proof_system,circom_c1_zkey_generation,circom_c1_zkey_generation_time,circom_c1_proof_generation,circom_c1_proof_generation_time,circom_c2_zkey_generation,circom_c2_zkey_generation_time,circom_c2_proof_generation,circom_c2_proof_generation_time,circom_c1_vkey_generation,circom_c1_vkey_generation_time,circom_c1_verification,circom_c1_verification_time,circom_c2_vkey_generation,circom_c2_vkey_generation_time,circom_c2_verification,circom_c2_verification_time,circom_c1_ignored_error,circom_c2_ignored_error,corset_rust_check,corset_rust_check_time,corset_rust_compile,corset_rust_compile_time,corset_go_compile,corset_go_compile_time,corset_wizard_compile,corset_wizard_compile_time,corset_wizard_prove,corset_wizard_prove_time,corset_wizard_verify,corset_wizard_verify_time,corset_go_custom_cli,corset_go_custom_cli_time,corset_expansions,corset_native,corset_auto_constraints,corset_guard_variable,corset_timeout,corset_out_of_memory,corset_error_references,corset_ignored_error,gnark_c1_compile,gnark_c1_compile_time,gnark_c2_compile,gnark_c2_compile_time,gnark_c1_new_witness,gnark_c1_new_witness_time,gnark_c2_new_witness,gnark_c2_new_witness_time,gnark_c1_witness_solved,gnark_c1_witness_solved_time,gnark_c2_witness_solved,gnark_c2_witness_solved_time,gnark_c1_witness_write,gnark_c1_witness_write_time,gnark_c2_witness_write,gnark_c2_witness_write_time,gnark_c1_new_srs,gnark_c2_new_srs,gnark_c1_proof_setup,gnark_c1_proof_setup_time,gnark_c2_proof_setup,gnark_c2_proof_setup_time,gnark_c1_prove,gnark_c1_prove_time,gnark_c2_prove,gnark_c2_prove_time,gnark_c1_witness_public,gnark_c1_witness_public_time,gnark_c2_witness_public,gnark_c2_witness_public_time,gnark_c1_verify,gnark_c1_verify_time,gnark_c2_verify,gnark_c2_verify_time,gnark_cs_engine,gnark_proof_system,gnark_go_test_time,gnark_go_timeout,gnark_go_ignored_compiler_error,noir_c1_execute,noir_c1_execute_time,noir_c2_execute,noir_c2_execute_time,noir_c1_vk,noir_c1_vk_time,noir_c2_vk,noir_c2_vk_time,noir_c1_bb_prove,noir_c1_bb_prove_time,noir_c2_bb_prove,noir_c2_bb_prove_time,noir_c1_bb_verify,noir_c1_bb_verify_time,noir_c2_bb_verify,noir_c2_bb_verify_time,noir_c1_ignored_error,noir_c2_ignored_error,mina_c1_ts_compile,mina_c1_ts_compile_time,mina_c2_ts_compile,mina_c2_ts_compile_time,mina_c1_zk_compile,mina_c1_zk_compile_time,mina_c2_zk_compile,mina_c2_zk_compile_time,mina_c1_prove,mina_c1_prove_time,mina_c2_prove,mina_c2_prove_time,mina_c1_verify,mina_c1_verify_time,mina_c2_verify,mina_c2_verify_time,mina_c1_ignored_error,mina_c2_ignored_error,cycle,explore_time,is_fixed
"mina",464.97640323638916,0.742353402429501,"pallas","equal",0,"c1 ZK compile failed: timeout",6439295782,0.0013744831085205078,7373728284,8.606910705566406e-05,,0,0,0,0,2,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8.258543252944946,True,5.504295110702515,False,,True,76.736,,,,,,,,,,,0,465.10888051986694,
"mina",349.1957643032074,0.9545365683234823,"pallas","equal",0,,5140400497,0.010352373123168945,6634395981,0.01044464111328125,,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.967694282531738,True,4.911343336105347,True,73.834,True,53.967,True,54.958,True,53.427,,,,,,,1,814.3613705635071,
"mina",349.1957643032074,0.9545365683234823,"pallas","equal",1,,5140400497,0.010352373123168945,6634395981,0.01044464111328125,,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,49.116,True,49.925,,,,,,,1,814.3613705635071,
"mina",332.6453056335449,0.6540786200141834,"pallas","equal",0,,2454898469,0.024773120880126953,2170108247,0.036718130111694336,"idem-or-rev|demorgan-or|idem-and-rev|idem-or-rev|demorgan-or-rev|idem-and-rev|idem-and-rev|idem-and|idem-and|double-neg-rev|double-neg|idem-or-rev|idem-or-rev|demorgan-or|demorgan-or-rev|assoc-or|comm-or|demorgan-or|demorgan-or|demorgan-or-rev|assoc-or|comm-and|demorgan-or-rev|comm-and|assoc-or|assoc-or|idem-or|idem-or|idem-or|idem-or-rev|assoc-or|idem-and-rev|comm-or|idem-and-rev|idem-and-rev|comm-and|idem-and|demorgan-or|comm-and",7,1,0,0,1,1,76,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.406466960906982,True,3.9533793926239014,True,57.917,True,57.23,True,53.252,True,51.861,,,,,,,2,1147.062025308609,
"mina",332.6453056335449,0.6540786200141834,"pallas","equal",1,,2454898469,0.024773120880126953,2170108247,0.036718130111694336,"idem-or-rev|demorgan-or|idem-and-rev|idem-or-rev|demorgan-or-rev|idem-and-rev|idem-and-rev|idem-and|idem-and|double-neg-rev|double-neg|idem-or-rev|idem-or-rev|demorgan-or|demorgan-or-rev|assoc-or|comm-or|demorgan-or|demorgan-or|demorgan-or-rev|assoc-or|comm-and|demorgan-or-rev|comm-and|assoc-or|assoc-or|idem-or|idem-or|idem-or|idem-or-rev|assoc-or|idem-and-rev|comm-or|idem-and-rev|idem-and-rev|comm-and|idem-and|demorgan-or|comm-and",7,1,0,0,1,1,76,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,49.863,True,49.695,,,,,,,2,1147.062025308609,
"mina",351.7093069553375,0.3862924925916472,"pallas","equal",0,,4970125458,0.014818906784057617,8363357811,0.0442655086517334,"assoc-and-rev|assoc-and|comm-and|idem-and-rev|comm-or|comm-or|comm-and|demorgan-and|idem-or-rev|comm-or|idem-and|idem-and-rev|double-neg-rev|idem-and-rev|double-neg-rev|idem-and|demorgan-and|comm-and|comm-or|double-neg-rev|double-neg-rev|idem-and|comm-and|demorgan-and|demorgan-and-rev|idem-or-rev|idem-or|idem-or-rev|idem-and-rev|idem-or-rev|double-neg",10,1,0,0,2,1,100,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.285419464111328,True,4.492918014526367,True,64.511,True,57.523,True,53.893,True,53.185,,,,,,,3,1498.8119428157806,
"mina",351.7093069553375,0.3862924925916472,"pallas","equal",1,,4970125458,0.014818906784057617,8363357811,0.0442655086517334,"assoc-and-rev|assoc-and|comm-and|idem-and-rev|comm-or|comm-or|comm-and|demorgan-and|idem-or-rev|comm-or|idem-and|idem-and-rev|double-neg-rev|idem-and-rev|double-neg-rev|idem-and|demorgan-and|comm-and|comm-or|double-neg-rev|double-neg-rev|idem-and|comm-and|demorgan-and|demorgan-and-rev|idem-or-rev|idem-or|idem-or-rev|idem-and-rev|idem-or-rev|double-neg",10,1,0,0,2,1,100,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,True,50.569,True,50.059,,,,,,,3,1498.8119428157806,
"mina",130.545902967453,0.1020338903705138,"pallas","equal",0,,8602461643,0.03554511070251465,9261820027,0.0355684757232666,"idem-and-rev|idem-and|double-neg|double-neg-rev|idem-or-rev|idem-and-rev|demorgan-and|idem-and-rev|double-neg-rev|comm-and|assoc-or-rev|comm-or|demorgan-or-rev|idem-and-rev|idem-and-rev|double-neg|comm-or|idem-and|idem-or-rev|demorgan-or|demorgan-or|assoc-or|demorgan-and-rev|double-neg-rev|demorgan-and-rev|idem-or-rev|comm-or|idem-or-rev|idem-and-rev|idem-and|demorgan-and-rev|assoc-and-rev|double-neg|demorgan-or|demorgan-and|assoc-or|comm-or|idem-or-rev",12,1,1,0,2,1,88,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.062787771224976,True,4.133519649505615,True,56.932,True,58.424,False,,False,,,,,,"Constraint unsatisfied (unreduced):
rule_main

Constraint:
(Equal(Var 90)(Constant 0x0000000000000000000000000000000000000000000000000000000000000001))
Data:
Equal 0 1","Constraint unsatisfied (unreduced):
rule_main

Constraint:
(Equal(Var 90)(Constant 0x0000000000000000000000000000000000000000000000000000000000000001))
Data:
Equal 0 1",4,1629.426353931427,
"mina",130.545902967453,0.1020338903705138,"pallas","equal",1,,8602461643,0.03554511070251465,9261820027,0.0355684757232666,"idem-and-rev|idem-and|double-neg|double-neg-rev|idem-or-rev|idem-and-rev|demorgan-and|idem-and-rev|double-neg-rev|comm-and|assoc-or-rev|comm-or|demorgan-or-rev|idem-and-rev|idem-and-rev|double-neg|comm-or|idem-and|idem-or-rev|demorgan-or|demorgan-or|assoc-or|demorgan-and-rev|double-neg-rev|demorgan-and-rev|idem-or-rev|comm-or|idem-or-rev|idem-and-rev|idem-and|demorgan-and-rev|assoc-and-rev|double-neg|demorgan-or|demorgan-and|assoc-or|comm-or|idem-or-rev",12,1,1,0,2,1,88,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,True,,False,,False,,,,,,"Constraint unsatisfied (unreduced):
rule_main

Constraint:
(Equal(Var 90)(Constant 0x0000000000000000000000000000000000000000000000000000000000000001))
Data:
Equal 0 1","Constraint unsatisfied (unreduced):
rule_main

Constraint:
(Equal(Var 90)(Constant 0x0000000000000000000000000000000000000000000000000000000000000001))
Data:
Equal 0 1",4,1629.426353931427,
"mina",405.69117856025696,0.2959509645297621,"pallas","equal",0,,8207477360,0.007052421569824219,7734154392,0.004126548767089844,,0,0,0,0,2,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8.294149160385132,True,3.959078550338745,True,63.932,True,60.274,True,55.447,True,107.979,,,,,,,5,2035.1990957260132,
