tool,test_time,seed,curve,oracle,iteration,error,ir_generation_seed,ir_generation_time,ir_rewrite_seed,ir_rewrite_time,ir_rewrite_rules,c1_node_size,c1_assignments,c1_assertions,c1_assumptions,c1_input_signals,c1_output_signals,c2_node_size,c2_assignments,c2_assertions,c2_assumptions,c2_input_signals,c2_output_signals,circom_c1_compilation,circom_c1_compilation_time,circom_c1_compilation_optimization,circom_c2_compilation,circom_c2_compilation_time,circom_c2_compilation_optimization,circom_c1_cpp_witness_preparation,circom_c1_cpp_witness_preparation_time,circom_c1_cpp_witness_generation,circom_c1_cpp_witness_generation_time,circom_c1_js_witness_generation,circom_c1_js_witness_generation_time,circom_c1_snarkjs_witness_check,circom_c1_snarkjs_witness_check_time,circom_c2_cpp_witness_preparation,circom_c2_cpp_witness_preparation_time,circom_c2_cpp_witness_generation,circom_c2_cpp_witness_generation_time,circom_c2_js_witness_generation,circom_c2_js_witness_generation_time,circom_c2_snarkjs_witness_check,circom_c2_snarkjs_witness_check_time,circom_proof_system,circom_c1_zkey_generation,circom_c1_zkey_generation_time,circom_c1_proof_generation,circom_c1_proof_generation_time,circom_c2_zkey_generation,circom_c2_zkey_generation_time,circom_c2_proof_generation,circom_c2_proof_generation_time,circom_c1_vkey_generation,circom_c1_vkey_generation_time,circom_c1_verification,circom_c1_verification_time,circom_c2_vkey_generation,circom_c2_vkey_generation_time,circom_c2_verification,circom_c2_verification_time,circom_c1_ignored_error,circom_c2_ignored_error,corset_rust_check,corset_rust_check_time,corset_rust_compile,corset_rust_compile_time,corset_go_compile,corset_go_compile_time,corset_wizard_compile,corset_wizard_compile_time,corset_wizard_prove,corset_wizard_prove_time,corset_wizard_verify,corset_wizard_verify_time,corset_go_custom_cli,corset_go_custom_cli_time,corset_expansions,corset_native,corset_auto_constraints,corset_guard_variable,corset_timeout,corset_out_of_memory,corset_error_references,corset_ignored_error,gnark_c1_compile,gnark_c1_compile_time,gnark_c2_compile,gnark_c2_compile_time,gnark_c1_new_witness,gnark_c1_new_witness_time,gnark_c2_new_witness,gnark_c2_new_witness_time,gnark_c1_witness_solved,gnark_c1_witness_solved_time,gnark_c2_witness_solved,gnark_c2_witness_solved_time,gnark_c1_witness_write,gnark_c1_witness_write_time,gnark_c2_witness_write,gnark_c2_witness_write_time,gnark_c1_new_srs,gnark_c2_new_srs,gnark_c1_proof_setup,gnark_c1_proof_setup_time,gnark_c2_proof_setup,gnark_c2_proof_setup_time,gnark_c1_prove,gnark_c1_prove_time,gnark_c2_prove,gnark_c2_prove_time,gnark_c1_witness_public,gnark_c1_witness_public_time,gnark_c2_witness_public,gnark_c2_witness_public_time,gnark_c1_verify,gnark_c1_verify_time,gnark_c2_verify,gnark_c2_verify_time,gnark_cs_engine,gnark_proof_system,gnark_go_test_time,gnark_go_timeout,gnark_go_ignored_compiler_error,noir_c1_execute,noir_c1_execute_time,noir_c2_execute,noir_c2_execute_time,noir_c1_vk,noir_c1_vk_time,noir_c2_vk,noir_c2_vk_time,noir_c1_bb_prove,noir_c1_bb_prove_time,noir_c2_bb_prove,noir_c2_bb_prove_time,noir_c1_bb_verify,noir_c1_bb_verify_time,noir_c2_bb_verify,noir_c2_bb_verify_time,noir_c1_ignored_error,noir_c2_ignored_error,mina_c1_ts_compile,mina_c1_ts_compile_time,mina_c2_ts_compile,mina_c2_ts_compile_time,mina_c1_zk_compile,mina_c1_zk_compile_time,mina_c2_zk_compile,mina_c2_zk_compile_time,mina_c1_prove,mina_c1_prove_time,mina_c2_prove,mina_c2_prove_time,mina_c1_verify,mina_c1_verify_time,mina_c2_verify,mina_c2_verify_time,mina_c1_ignored_error,mina_c2_ignored_error,cycle,explore_time,is_fixed
"circom",1.055997371673584,0.711898225136068,"bls12381","equal",0,,7708058075,0.00013446807861328125,5079034035,0.008141517639160156,"one-mul-con|zero-add-con|comm-mul|one-mul-con|inv-zero-add-con|inv-xor-rev|zero-xor|one-div-con|comm-mul|inv_addition_exp|double-lor-con|zero-add-con|comm-mul|one-div-des",6,1,1,0,2,1,24,1,1,0,2,1,True,0.08840036392211914,"O0",True,0.09951496124267578,"O1",,,,,False,0.19775009155273438,,,,,,,False,0.19257521629333496,,,"groth16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0561785697937012,
"circom",1.055997371673584,0.711898225136068,"bls12381","equal",1,,7708058075,0.00013446807861328125,5079034035,0.008141517639160156,"one-mul-con|zero-add-con|comm-mul|one-mul-con|inv-zero-add-con|inv-xor-rev|zero-xor|one-div-con|comm-mul|inv_addition_exp|double-lor-con|zero-add-con|comm-mul|one-div-des",6,1,1,0,2,1,24,1,1,0,2,1,True,0.08840036392211914,"O0",True,0.09951496124267578,"O1",,,,,False,0.2194383144378662,,,,,,,False,0.2346200942993164,,,"groth16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0561785697937012,
"circom",11.189547538757324,0.4622927043561832,"bn128","equal",0,,9769796687,0.00015091896057128906,6415872412,0.05467939376831055,"idem-and|comm-and|one-mul-con|idem-and|one-mul-con|one-mul-des|one-div-con|one-mul-des|idem-and|comm-mul|idem-and|one-mul-con|zero-xor|add_sub_random_value|inv_addition_exp|zero-and|assoc-add|one-mul-con|zero-or|comm-mul|one-mul-con|one-mul-des|zero-add-con|zero-and|inv-zero-add-con|one-div-con|inv_addition_exp|zero-and|assoc-add-rev|one-mul-con|zero-xor|zero-xor-rev|comm-or|comm-or|idem-and|comm-div|assoc-add|neg-zero-add-con",9,1,0,1,0,1,100,1,0,1,0,1,True,0.06797027587890625,"O1",True,0.06883907318115234,"O2",,,,,True,0.21013617515563965,,,,,,,True,0.23881769180297852,,,"fflonk",True,1.3032996654510498,True,1.3680174350738525,True,1.2276732921600342,True,1.4404313564300537,True,1.420609712600708,True,1.254014492034912,True,1.156083345413208,True,1.0239155292510986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.249045848846436,
"circom",11.189547538757324,0.4622927043561832,"bn128","equal",1,,9769796687,0.00015091896057128906,6415872412,0.05467939376831055,"idem-and|comm-and|one-mul-con|idem-and|one-mul-con|one-mul-des|one-div-con|one-mul-des|idem-and|comm-mul|idem-and|one-mul-con|zero-xor|add_sub_random_value|inv_addition_exp|zero-and|assoc-add|one-mul-con|zero-or|comm-mul|one-mul-con|one-mul-des|zero-add-con|zero-and|inv-zero-add-con|one-div-con|inv_addition_exp|zero-and|assoc-add-rev|one-mul-con|zero-xor|zero-xor-rev|comm-or|comm-or|idem-and|comm-div|assoc-add|neg-zero-add-con",9,1,0,1,0,1,100,1,0,1,0,1,True,0.06797027587890625,"O1",True,0.06883907318115234,"O2",,,,,True,0.1676480770111084,,,,,,,True,0.16655445098876953,,,"groth16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.249045848846436,
"circom",1.1505961418151855,0.7441884835090119,"secq256r1","equal",0,,9216674364,0.0002810955047607422,1316187649,0.018014907836914062,"relation-geq-to-not-lth|one-mul-con|comm-mul|double-lor-con|dist-mul-add|idem-and|one-div-con|double-negation-des|comm-add|comm-lor|comm-div|double-lor-con|one-div-des|idem-and|dist-mul-add",26,1,1,0,0,1,57,1,1,0,0,1,True,0.1439361572265625,"O2",True,0.14937996864318848,"O1",,,,,False,0.2084207534790039,,,,,,,False,0.1933286190032959,,,"plonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.403824806213379,
"circom",1.1505961418151855,0.7441884835090119,"secq256r1","equal",1,,9216674364,0.0002810955047607422,1316187649,0.018014907836914062,"relation-geq-to-not-lth|one-mul-con|comm-mul|double-lor-con|dist-mul-add|idem-and|one-div-con|double-negation-des|comm-add|comm-lor|comm-div|double-lor-con|one-div-des|idem-and|dist-mul-add",26,1,1,0,0,1,57,1,1,0,0,1,True,0.1439361572265625,"O2",True,0.14937996864318848,"O1",,,,,False,0.21029138565063477,,,,,,,False,0.21703243255615234,,,"plonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.403824806213379,
"circom",17.187965154647827,0.9568397223811802,"bn128","equal",0,,2602080977,0.0005052089691162109,2370790199,0.010253190994262695,"zero-land-con|double-negation-add-con|zero-land-des|one-mul-con|zero-lor-con",63,2,2,0,2,2,69,2,2,0,2,2,True,0.1598520278930664,"O0",True,0.14132905006408691,"O1",True,7.553138256072998,False,0.015658855438232422,,,,,True,9.24829363822937,False,0.014580726623535156,,,,,"fflonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.595930814743042,
"circom",17.187965154647827,0.9568397223811802,"bn128","equal",1,,2602080977,0.0005052089691162109,2370790199,0.010253190994262695,"zero-land-con|double-negation-add-con|zero-land-des|one-mul-con|zero-lor-con",63,2,2,0,2,2,69,2,2,0,2,2,True,0.1598520278930664,"O0",True,0.14132905006408691,"O1",True,7.553138256072998,False,0.015482425689697266,,,,,True,9.24829363822937,False,0.015681743621826172,,,,,"groth16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.595930814743042,
"circom",2.6666386127471924,0.06081170037098105,"grumpkin","equal",0,,8658867537,0.0005006790161132812,1353542988,0.08107161521911621,"double-lxor-con|double-land-des|double-negation-con|inv-zero-add-con|zero-and|double-negation-des|add_sub_random_value|idem-and|double-lor-con|assoc-lor|zero-lor-des|idem-and|zero-add-con|one-mul-con|zero-add-des|double-land-con|idem-and|inv-xor-rev|relation-geq-to-not-lth|double-negation-add-con|zero-land-con|comm-mul",73,2,2,1,2,2,156,2,2,1,2,2,True,0.17261338233947754,"O0",True,1.2529270648956299,"O0",,,,,False,0.2690742015838623,,,,,,,False,0.237623929977417,,,"plonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.26903200149536,
"circom",2.6666386127471924,0.06081170037098105,"grumpkin","equal",1,,8658867537,0.0005006790161132812,1353542988,0.08107161521911621,"double-lxor-con|double-land-des|double-negation-con|inv-zero-add-con|zero-and|double-negation-des|add_sub_random_value|idem-and|double-lor-con|assoc-lor|zero-lor-des|idem-and|zero-add-con|one-mul-con|zero-add-des|double-land-con|idem-and|inv-xor-rev|relation-geq-to-not-lth|double-negation-add-con|zero-land-con|comm-mul",73,2,2,1,2,2,156,2,2,1,2,2,True,0.17261338233947754,"O0",True,1.2529270648956299,"O0",,,,,False,0.19989252090454102,,,,,,,False,0.2964620590209961,,,"plonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.26903200149536,
